0	0	0.999507
0.0625	0	0.923424
0.125	0	0.706758
0.1875	0	0.382495
0.25	0	5.55112e-17
0.3125	0	-0.382495
0.375	0	-0.706758
0.4375	0	-0.923424
0.5	0	-0.999507
0.5625	0	-0.923424
0.625	0	-0.706758
0.6875	0	-0.382495
0.75	0	-1.66533e-16
0.8125	0	0.382495
0.875	0	0.706758
0.9375	0	0.923424
1	0	0.999507

0	0.0625	0.923424
0.0625	0.0625	0.853132
0.125	0.0625	0.652959
0.1875	0.0625	0.353379
0.25	0.0625	4.85723e-17
0.3125	0.0625	-0.353379
0.375	0.0625	-0.652959
0.4375	0.0625	-0.853132
0.5	0.0625	-0.923424
0.5625	0.0625	-0.853132
0.625	0.0625	-0.652959
0.6875	0.0625	-0.353379
0.75	0.0625	-1.73472e-16
0.8125	0.0625	0.353379
0.875	0.0625	0.652959
0.9375	0.0625	0.853132
1	0.0625	0.923424

0	0.125	0.706758
0.0625	0.125	0.652959
0.125	0.125	0.499753
0.1875	0.125	0.270465
0.25	0.125	4.16334e-17
0.3125	0.125	-0.270465
0.375	0.125	-0.499753
0.4375	0.125	-0.652959
0.5	0.125	-0.706758
0.5625	0.125	-0.652959
0.625	0.125	-0.499753
0.6875	0.125	-0.270465
0.75	0.125	-1.249e-16
0.8125	0.125	0.270465
0.875	0.125	0.499753
0.9375	0.125	0.652959
1	0.125	0.706758

0	0.1875	0.382495
0.0625	0.1875	0.353379
0.125	0.1875	0.270465
0.1875	0.1875	0.146374
0.25	0.1875	1.9082e-17
0.3125	0.1875	-0.146374
0.375	0.1875	-0.270465
0.4375	0.1875	-0.353379
0.5	0.1875	-0.382495
0.5625	0.1875	-0.353379
0.625	0.1875	-0.270465
0.6875	0.1875	-0.146374
0.75	0.1875	-9.19403e-17
0.8125	0.1875	0.146374
0.875	0.1875	0.270465
0.9375	0.1875	0.353379
1	0.1875	0.382495

0	0.25	5.55112e-17
0.0625	0.25	5.55112e-17
0.125	0.25	1.11022e-16
0.1875	0.25	5.55112e-17
0.25	0.25	6.16298e-33
0.3125	0.25	-5.55112e-17
0.375	0.25	-1.11022e-16
0.4375	0.25	-5.55112e-17
0.5	0.25	-5.55112e-17
0.5625	0.25	0
0.625	0.25	-1.11022e-16
0.6875	0.25	-2.77556e-17
0.75	0.25	-1.2326e-32
0.8125	0.25	0
0.875	0.25	0
0.9375	0.25	1.11022e-16
1	0.25	5.55112e-17

0	0.3125	-0.382495
0.0625	0.3125	-0.353379
0.125	0.3125	-0.270465
0.1875	0.3125	-0.146374
0.25	0.3125	-2.77556e-17
0.3125	0.3125	0.146374
0.375	0.3125	0.270465
0.4375	0.3125	0.353379
0.5	0.3125	0.382495
0.5625	0.3125	0.353379
0.625	0.3125	0.270465
0.6875	0.3125	0.146374
0.75	0.3125	8.32667e-17
0.8125	0.3125	-0.146374
0.875	0.3125	-0.270465
0.9375	0.3125	-0.353379
1	0.3125	-0.382495

0	0.375	-0.706758
0.0625	0.375	-0.652959
0.125	0.375	-0.499753
